row ID,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,row ID
Row17,Sydney,20.5,24.2,0,8.6,1.5,NA,,E,E,15,20,58,54,1017.5,1016.9,7,7,21.6,23.5,No,0
Row18,Sydney,19,29,22.2,8.2,3.3,NA,,NA,NNE,0,15,82,52,1014.1,1010.6,7,7,21.3,24.7,Yes,1
Row19,Sydney,17.9,21.4,4.2,4.2,0,NA,,S,ESE,20,9,77,88,1010,1010.1,8,8,20.4,19.2,Yes,1
Row20,Sydney,15,23.1,0.2,2.6,11.2,NA,,W,ENE,15,19,78,57,1025.8,1022.5,1,1,18.2,22.5,No,0
Row21,Sydney,19.6,26,0,5,10.4,NA,,N,ENE,11,19,67,65,1024.2,1019.8,1,1,22.1,24.7,No,0
Row22,Sydney,19.9,24.9,0,7.6,4.5,NA,,SSW,SSE,13,24,83,75,1021.3,1020.7,5,7,22.9,23.3,No,1
Row23,Sydney,16.5,24.8,17.4,6,9.6,NA,,WNW,E,9,22,88,71,1023.4,1022.3,1,2,18.8,21.5,Yes,0
Row24,Sydney,18.6,26.1,0,7.6,11.3,NA,,ENE,E,2,20,72,58,1022,1021.4,0,0,21.9,26,No,0
Row25,Sydney,19.3,26.4,0,7,11.1,NA,,W,NE,7,22,77,60,1021.9,1018.8,1,1,22.2,25,No,0
Row26,Sydney,19.2,26.1,0,6,10.6,NA,,WNW,ESE,6,20,84,69,1019.7,1019,1,4,22.4,25.3,No,0
Row27,Sydney,18.8,26,0,5.4,11,NA,,W,ENE,9,24,84,62,1022.8,1020,3,1,21.8,25.7,No,0
Row28,Sydney,19.3,26.1,0,7,11.3,NA,,NW,ENE,2,20,80,64,1022.1,1020.9,1,1,22.5,25.6,No,0
Row29,Sydney,19.7,25.8,0,5.6,10.1,NA,,W,E,7,24,81,69,1024.6,1022.6,2,2,22.8,24.7,No,0
Row30,Sydney,19.9,26.9,0,6.6,6.3,NA,,SSE,E,7,13,70,60,1021.2,1019.4,5,7,23.9,24.9,No,0
Row31,Sydney,19.7,28.1,0,6,10.4,NA,,NNE,NE,6,17,70,58,1014.3,1009.6,2,2,23.5,27.6,No,0
Row32,Sydney,17.7,19.6,1,7,0,NA,,S,SSW,26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,No,1
Row33,Sydney,16.9,23.2,2.2,2.2,0.6,NA,,ESE,E,24,30,81,60,1022.8,1022.2,7,7,19.6,21.7,Yes,0
Row34,Sydney,16.3,24.8,0.4,4,6.1,NA,,WNW,ESE,9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,No,1
Row35,Sydney,18.5,24.3,17,2.6,8,NA,,NNW,ENE,7,26,95,72,1018.7,1015.3,6,2,19.9,23.3,Yes,0
Row36,Sydney,19.8,27.5,0.4,6.4,2.5,NA,,NE,NNW,4,17,81,58,1011.1,1006.9,5,7,21.4,27,No,1
Row37,Sydney,15,23.6,0,5.8,11,NA,,W,ESE,20,19,52,42,1014.7,1013.4,1,1,17.5,21.8,No,0
Row38,Sydney,15.2,21.7,0,2.6,8.3,NA,,SSW,SE,13,17,71,51,1017.1,1016.2,4,3,18.3,21.2,No,0
Row39,Sydney,13.1,26.8,0,4.6,10.9,NA,,W,WNW,22,15,61,22,1013,1009,0,1,16.9,25.9,No,0
Row40,Sydney,13.5,25.6,0,5.8,10.4,NA,,WNW,WNW,9,17,57,31,1015,1012.5,4,1,16.3,24.9,No,0
Row41,Sydney,14.1,28.7,0,3.8,10.5,NA,,W,N,6,22,75,34,1019,1012.4,1,7,17.8,28,No,0
Row42,Sydney,16.4,22.2,0,10.6,9.7,NA,,SW,WSW,26,20,42,21,1009.9,1010.8,6,1,16.6,21.2,No,0
Row43,Sydney,11.2,22.2,0,7.6,10.6,NA,,W,E,24,15,47,37,1020.8,1019.2,1,0,13.9,21,No,0
Row44,Sydney,11.6,22.7,0,4.2,10.7,NA,,WNW,E,13,17,71,50,1024.5,1023.4,0,1,15.2,21,No,0
Row45,Sydney,13.1,22.7,0,3.6,6.4,NA,,W,ESE,13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,No,1
Row46,Sydney,15.6,22.2,22.8,5.4,5.8,NA,,W,E,13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,Yes,1
Row47,Sydney,14.1,23.5,0,3.2,8.9,NA,,W,E,15,15,83,61,1020.1,1017.5,4,2,17.1,22.1,No,0
Row48,Sydney,14,23.8,0,4,7.8,NA,,W,E,11,9,79,59,1018.6,1016,7,4,17.6,22.2,No,0
Row49,Sydney,15.1,22.7,0,1.8,6.6,NA,,W,ESE,11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,No,1
Row50,Sydney,13.2,18.9,11,3.2,5.2,NA,,SSW,S,19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,Yes,1
Row51,Sydney,13.8,19.7,2.8,2.8,1.7,NA,,SW,S,20,22,85,71,1025.4,1023.9,7,7,15.9,19,Yes,1
Row52,Sydney,13.8,20.9,1.4,4.6,2.2,NA,,SSW,SSW,15,20,78,85,1026.4,1024.6,7,8,17.2,16.2,Yes,1
Row53,Sydney,15.9,21.4,5,4.8,5,NA,,SE,SE,22,24,51,61,1027.2,1026.1,6,7,19.3,19.5,Yes,1
Row54,Sydney,14.7,19.3,21.8,7.5,4.6,NA,,SSW,S,9,19,91,70,1023.2,1021.4,8,7,16.6,19,Yes,1
Row55,Sydney,14.4,20.3,10.2,3.6,2,NA,,SSE,SE,9,20,90,55,1023.6,1022.3,7,5,16.1,20.1,Yes,1
Row56,Sydney,14.7,20,15.6,1.6,2.5,NA,,S,S,19,20,93,80,1021.3,1018.6,7,7,16.8,19.3,Yes,1
Row57,Sydney,12.7,24.8,0.4,2.6,10.2,NA,,W,E,15,6,81,38,1011.2,1007,2,7,15.6,24.6,No,0
Row58,Sydney,15.6,26.1,0,5.2,7.6,NA,,NNW,N,20,22,51,28,1005.2,999.1,6,2,20.3,25.7,No,0
Row59,Sydney,11.9,16.8,0,7.6,8.5,NA,,W,WSW,20,24,46,33,1007.4,1008.6,2,6,13.7,15.6,No,0
Row60,Sydney,8.6,18.4,0,3.8,10.5,NA,,W,SSE,24,9,54,41,1020.4,1019.8,1,1,11.7,17.8,No,0
Row61,Sydney,8.4,19.6,0,3.6,9.8,NA,,W,E,15,17,68,50,1024.2,1021.3,1,3,11.6,18.1,No,0
Row62,Sydney,11.6,18.2,0,4,2.7,NA,,WNW,W,11,7,74,56,1019.7,1016.7,7,7,13.4,18.1,No,0
Row63,Sydney,10.8,22.2,0,2.4,9.1,NA,,W,WSW,19,17,65,44,1018.7,1015.3,1,3,14.5,21.7,No,0
Row64,Sydney,9.4,20.3,0,3.6,10.3,NA,,W,SE,22,11,64,47,1021.1,1018.3,1,1,12.4,19.4,No,0
Row65,Sydney,11.8,23.6,0,3.4,3.1,NA,,W,WNW,9,9,74,48,1017.1,1013.3,6,7,13.7,21.1,No,0
Row66,Sydney,13,23,0,3.6,9.4,NA,,W,SSE,22,13,57,44,1014.3,1011.8,1,3,16.5,22,No,0
Row67,Sydney,11,21.8,0,3.2,10.2,NA,,W,S,24,15,63,45,1019.2,1017.5,1,1,14,20.8,No,0
Row68,Sydney,11,21.9,0,3.2,10.1,NA,,W,SE,17,11,75,60,1021.4,1020.2,0,1,14.3,20.6,No,0
Row69,Sydney,14,19.4,0,1.2,2.1,NA,,WNW,SSE,13,15,84,67,1023.1,1021.2,7,7,16.8,18.7,No,0
Row70,Sydney,12.4,19.5,0,1.6,7.3,NA,,W,E,11,15,88,63,1023.5,1020.5,1,1,14.9,19.2,No,0
Row71,Sydney,13.2,19.7,0,1.8,4.2,NA,,W,E,11,9,88,67,1023.4,1021.7,6,7,15,18.1,No,0
Row72,Sydney,11.2,20.6,0,2,9.7,NA,,W,ENE,20,19,82,64,1023.8,1020.5,1,1,13.8,20,No,0
Row73,Sydney,12,21.4,0.2,3.2,8.7,NA,,W,E,13,9,90,60,1022.2,1017.8,1,1,13.9,21.3,No,1
Row74,Sydney,13.8,23.2,1.2,2.2,6.4,NA,,WNW,NE,15,15,78,66,1017.1,1013,6,2,15.9,20.9,Yes,0
Row75,Sydney,15.2,21.8,0,4.2,6.9,NA,,NNW,NNW,20,17,52,41,1008.4,1003.6,3,7,19.2,20.9,No,0
Row76,Sydney,8.8,17.8,0,4.2,9.4,NA,,W,W,19,31,57,36,1007,1006.3,1,1,11.6,17,No,0
Row77,Sydney,10.7,20.5,0,4.4,9.9,NA,,W,WNW,22,7,58,36,1015.7,1013.3,1,0,12.5,20.3,No,0
Row78,Sydney,11.1,18.9,0,2.4,6.1,NA,,WNW,S,19,22,74,64,1022.4,1022.8,4,7,13.5,17.3,No,0
Row79,Sydney,11.9,18.7,0,4,7.5,NA,,SSW,SSE,20,19,63,52,1028.2,1026.2,1,2,15.1,17.4,No,0
Row80,Sydney,11.4,20.1,0,2.4,9.1,NA,,W,NW,13,2,71,39,1025.4,1022.7,1,1,13.3,19.3,No,0
Row81,Sydney,8.8,18.3,0,3.6,6.5,NA,,W,ENE,17,11,78,58,1025.1,1022.2,4,3,11.1,16.9,No,0
Row82,Sydney,10.9,21.1,0.4,0.4,9.1,NA,,W,ENE,20,13,81,58,1025.9,1022.6,6,2,12.9,19.5,No,0
Row83,Sydney,11,19.2,0,1.6,3.9,NA,,W,NE,26,2,80,74,1025.6,1023.9,3,6,12.8,18.6,No,0
Row84,Sydney,11,18.6,1,1,4.6,NA,,W,S,19,4,86,76,1030.2,1029.1,3,2,12.7,17.6,No,0
Row85,Sydney,10.9,21,0.2,1.4,5.6,NA,,W,E,19,7,87,58,1032,1028.7,1,2,12.7,19.6,No,0
Row86,Sydney,10.8,20.1,0,1,9.4,NA,,WNW,SSE,17,17,90,61,1028.6,1026.66,1,1,11.7,19.4,No,0
Row87,Sydney,14.3,17.6,22,1.8,0.1,NA,,W,W,9,7,97,90,1027.3,1024.8,8,7,15.3,17.1,Yes,1
Row88,Sydney,15.2,19.1,4,0.4,0,NA,,W,E,17,22,98,90,1026.4,1024.1,8,8,15.6,16.7,Yes,1
Row89,Sydney,15.5,18.3,9.2,2.4,0,NA,,SE,ESE,19,26,87,88,1023.1,1020.5,8,8,17.5,17.2,Yes,1
Row90,Sydney,14.7,17.4,12.4,0.4,1.8,NA,,WSW,SSW,15,24,81,70,1021.2,1020.3,7,6,15.1,16.6,Yes,0
Row91,Sydney,11.7,18.2,0,2.2,8.8,NA,,W,S,19,24,76,49,1025,1025.7,1,1,13.3,17.9,No,1
Row92,Sydney,12.7,17.7,6,1.4,0.5,NA,,WNW,ESE,17,17,97,71,1032.1,1029.8,8,7,14.1,17.2,Yes,1
Row93,Sydney,12.4,19.9,1.6,1.6,3.9,NA,,W,N,13,9,98,68,1027.5,1023.9,7,1,13.2,19.1,Yes,0
Row94,Sydney,13.2,19.9,0,1.8,0,NA,,NNW,N,6,4,74,70,1022.9,1020.6,7,8,17.3,19.6,No,1
Row95,Sydney,9.6,14.6,0,3.8,3.4,NA,,W,SW,30,24,49,52,1022,1022.5,5,7,11.2,14.1,No,0
Row96,Sydney,10.6,15.3,0,2.8,0.1,NA,,SSW,SSW,24,26,75,87,1024.4,1022.8,7,8,13.7,14.5,No,1
Row97,Sydney,13.1,17.5,3.4,0.8,1.3,NA,,W,SSW,11,13,88,73,1026.7,1024.8,7,7,14.2,17.3,Yes,0
Row98,Sydney,12.8,20.3,0,2,5,NA,,WNW,ESE,13,13,91,69,1020.3,1017.4,6,7,13.9,18.6,No,1
Row99,Sydney,11.6,18.5,2.2,1.8,9.4,NA,,W,WSW,15,17,66,40,1020.7,1018.9,1,1,13.2,18,Yes,0
Row100,Sydney,9.7,17.3,0,3.4,9.3,NA,,W,SSW,22,22,61,54,1023.2,1024,1,3,11.4,16.3,No,0
Row101,Sydney,8.2,17.1,0,3.4,7,NA,,WNW,WSW,13,13,74,43,1023.7,1020.4,1,7,9.9,17,No,0
Row102,Sydney,9.2,19.2,0,1.8,9.2,NA,,W,WNW,19,9,72,45,1027,1023.1,1,1,10.7,18.8,No,0
Row103,Sydney,9.9,19.6,0,2.8,9.8,NA,,W,WNW,17,6,69,43,1024.6,1020.6,1,0,11.8,19.4,No,0
Row104,Sydney,10.2,20.2,0,3.2,9.7,NA,,WNW,W,28,28,47,38,1017,1016.8,0,1,14.6,19.3,No,0
Row105,Sydney,7.9,18.7,0,3,8.8,NA,,W,SSE,20,9,68,43,1027.6,1024.7,1,1,10.1,18.1,No,0
Row106,Sydney,10.3,19.6,0.2,3.8,9.5,NA,,NA,W,0,41,45,34,1011,1008.5,0,1,13.1,19.2,No,0
Row107,Sydney,10.8,19.2,0,4,9.7,NA,,WNW,W,26,31,55,35,1012.5,1011.2,1,1,14.6,18.8,No,0
Row108,Sydney,8.2,15,1.2,2.4,0.4,NA,,W,S,20,9,84,88,1029,1028.2,7,7,9.1,12.9,Yes,1
Row109,Sydney,9.1,17.4,14.2,1.6,2.5,NA,,WNW,NE,11,15,78,48,1031.9,1028.9,6,6,11.3,16.8,Yes,0
Row110,Sydney,8.3,18.4,0,2.2,7.8,NA,,W,SSE,15,4,84,59,1029.2,1025.7,1,3,9.8,17.7,No,0
Row111,Sydney,9.7,19.8,0,2.2,4.3,NA,,W,N,9,11,87,55,1024.4,1019.7,7,5,11.3,19.3,No,0
Row112,Sydney,10.5,17.2,0.2,1.6,5.5,NA,,W,SE,11,7,80,49,1020.9,1017.4,1,4,12.1,16.4,No,0
Row113,Sydney,6.9,13.3,0,2.8,4.6,NA,,W,WSW,15,20,57,43,1018,1015.7,2,7,9.6,13.2,No,1
Row114,Sydney,7.8,17.3,0,2.6,0,NA,,W,N,4,17,67,58,1024.2,1021.2,8,8,11.5,17.1,No,0
Row115,Sydney,8.9,18,0,2,9.6,NA,,WNW,SSE,13,11,81,50,1022.2,1019.1,1,1,10.8,17.4,No,0
Row116,Sydney,8.2,18.5,0,1.4,9,NA,,W,N,15,17,84,38,1019.2,1013.3,4,5,10.1,17.3,No,0
Row117,Sydney,8.1,18.2,0,3.4,9.5,NA,,W,W,4,6,53,32,1016.2,1014.1,1,2,10.9,18.2,No,0
Row118,Sydney,10.8,17.6,0,3.2,0,NA,,N,NE,6,4,41,55,1015.4,1008.6,8,8,14.6,16.8,No,1
Row119,Sydney,10.4,17.5,2.8,1.6,9.7,NA,,NW,W,26,31,56,31,1006.2,1008.1,1,1,13.1,16.7,Yes,0
Row120,Sydney,5.5,14.7,0,4,4,NA,,W,SSW,22,19,67,61,1031.5,1029.6,6,6,7,14.1,No,1
Row121,Sydney,9.8,12.7,8.8,2.4,0.1,NA,,WSW,S,15,17,93,81,1022.6,1020.1,8,7,10.5,12.6,Yes,1
Row122,Sydney,6.2,17,16.2,1.4,8.6,NA,,W,SSE,24,13,79,47,1018.3,1014.3,1,5,8.4,15.5,Yes,0
Row123,Sydney,6.3,17.6,0,2,7.6,NA,,W,ESE,11,6,71,41,1013.1,1008.6,2,7,9.1,16.4,No,1
Row124,Sydney,8,15,33.2,1.4,6.9,NA,,W,SSW,22,20,86,59,1017.2,1015.1,6,6,9.1,13.5,Yes,0
Row125,Sydney,6,20.3,0,3.4,10.2,NA,,W,E,19,11,71,42,1016.6,1011.6,1,2,7.9,18.5,No,0
Row126,Sydney,7.9,20.8,0,4.6,1.8,NA,,WNW,WNW,17,26,40,46,1004.8,1003.3,6,7,17.2,16.8,No,0
Row127,Sydney,9.7,16.8,0,4.6,10.1,NA,,W,W,28,24,48,32,1013.2,1013.3,1,1,11.9,16.6,No,0
Row128,Sydney,9.4,18.8,0,3.6,10,NA,,W,W,20,7,52,34,1020.4,1017.7,0,1,11.6,18.7,No,0
Row129,Sydney,8.1,17.2,0,3,5.9,NA,,W,E,13,13,62,45,1020.4,1017.1,6,6,10.6,15,No,0
Row130,Sydney,6.6,16.3,0,3.4,8.5,NA,,W,SSE,22,13,67,52,1019.1,1016.1,1,5,9.2,16.3,No,0
Row131,Sydney,8.3,16.5,0.8,0.4,6,NA,,W,NW,20,19,74,75,1017.9,1014.6,1,7,10.9,11.4,No,1
Row132,Sydney,6.9,17.3,0,4,9.6,NA,,W,WNW,19,15,56,37,1021.9,1018.1,1,4,9.9,16.4,No,0
Row133,Sydney,6.8,16.3,0,3,10,NA,,W,W,19,30,50,28,1021.7,1018.8,1,1,10.7,15.8,No,0
Row134,Sydney,8.4,17.4,0,4,10.5,NA,,WSW,ESE,22,15,49,34,1023,1021.9,1,2,12.2,16,No,0
Row135,Sydney,7.2,18.5,0,4,10.4,NA,,W,WSW,22,26,51,28,1021.1,1015.6,0,1,10.2,18,No,0
Row136,Sydney,10.5,18,0,4,9.2,NA,,W,SE,22,15,48,42,1011.8,1010.5,1,4,13.2,16.6,No,0
Row137,Sydney,6.9,16.4,0,4.6,10.4,NA,,W,SSE,17,15,45,35,1021.9,1021.8,1,1,10.4,15.5,No,0
Row138,Sydney,5.6,15.8,0,3.4,7.6,NA,,W,SSW,20,19,59,33,1024.9,1021.2,6,7,9.2,15.3,No,0
Row139,Sydney,5.3,17.6,0.6,1.8,10.8,NA,,W,ENE,22,15,65,32,1028.8,1025.4,1,5,9.5,17.5,No,0
Row140,Sydney,8.2,19.5,0,3.8,7.4,NA,,E,W,2,4,58,35,1026.6,1023.2,7,7,12.6,19.2,No,0
Row141,Sydney,9.4,20.2,0,3.2,1.1,NA,,W,ENE,7,11,58,44,1022.5,1017.1,8,7,12,18.2,No,1
Row142,Sydney,8.2,16.4,0,3.6,7.1,NA,,W,NE,15,19,76,48,1029.9,1024.8,7,5,11.1,16,No,0
Row143,Sydney,8.5,21.5,0,2.6,9.3,NA,,WNW,E,19,15,78,51,1023.4,1019.3,2,3,11.1,18.7,No,0
Row144,Sydney,8.7,18.2,0,4.2,10.1,NA,,WNW,SSE,19,20,70,62,1025.7,1022.3,2,4,12.5,16.1,No,0
Row145,Sydney,8.1,16,0,,6.3,NA,,W,ENE,13,17,82,65,1023.4,1019.1,5,7,12.1,15.7,No,1
Row146,Sydney,12.1,19.2,12,,0.3,NA,,NNE,N,15,22,91,71,1011.2,1009.555,7,7,15.3,19.1,Yes,0
Row147,Sydney,10.4,21,0.2,4,11.3,NA,,W,E,7,19,54,41,1022.9,1020.8,0,0,15,19,No,0
Row148,Sydney,8.7,20.6,0,3,11.1,NA,,W,ESE,19,17,56,39,1026.1,1024.4,0,1,14.1,18.9,No,0
Row149,Sydney,13.5,17.1,0.4,4.6,0.7,NA,,SE,ESE,20,26,55,64,1034.2,1031,7,8,15.4,15.8,No,1
Row150,Sydney,13.1,15.7,1.6,4.4,0,NA,,ESE,ESE,28,20,76,88,1024.9,1020.8,8,8,15.6,14.2,Yes,1
Row151,Sydney,11.8,14.2,62.2,,0,NA,,S,S,22,30,92,88,1014.8,1013.1,8,8,13,12.3,Yes,1
Row152,Sydney,9.5,19,21.6,0,9.4,NA,,W,ESE,15,15,69,51,1016.4,1014.1,2,6,14.1,18.3,Yes,0
Row153,Sydney,9.4,17.5,0,3.4,9.9,NA,,W,SSE,15,24,68,51,1019.5,1018.2,1,2,13.9,16.4,No,0
Row154,Sydney,8.4,16.4,0,6.2,10.9,NA,,WSW,SE,13,20,49,43,1025,1021.9,1,1,12.6,15.4,No,0
Row155,Sydney,7.1,17.7,0,3,10.3,NA,,WNW,ENE,15,20,72,60,1019.2,1014.2,1,2,12.3,16.8,No,0
Row156,Sydney,14.8,30.6,0,7.4,10.6,NA,,E,NE,4,7,40,47,1014.1,1010.4,3,1,24.3,25,No,1
Row157,Sydney,12.3,19.8,0,10.6,11.3,NA,,W,WSW,39,19,30,25,1015.8,1016.5,1,1,14.3,19.5,No,0
Row158,Sydney,10.7,16.3,0,7.2,4.6,NA,,S,SE,15,11,60,58,1026.4,1023.4,6,6,14.8,15,No,0
Row159,Sydney,9.4,19.4,0,3.6,10.1,NA,,W,NE,6,22,63,61,1021.4,1016.2,1,4,15.7,18.3,No,0
Row160,Sydney,14.6,25.8,0,4.2,10.4,NA,,NA,NE,0,20,67,47,1015.8,1011,1,0,19.4,24,No,0
Row161,Sydney,15.8,21.6,0,9,10.9,NA,,E,NE,9,19,73,61,1019.8,1014.4,4,0,18,20.7,No,0
Row162,Sydney,13.2,29.8,0,4.4,7.5,NA,,W,NW,6,37,64,33,1011.6,1007,0,7,19.1,27.6,No,1
Row163,Sydney,15.6,17,2.6,10.4,3,NA,,SSW,SSE,17,24,88,60,1015.5,1018,8,5,15.6,16.9,Yes,1
Row164,Sydney,9.7,18.6,2.2,2.4,11.1,NA,,WNW,E,11,19,60,50,1030.3,1028.6,3,1,16.2,17.5,Yes,0
Row165,Sydney,19.8,32.9,0,6.6,8.4,NA,,WNW,SSE,17,28,35,62,1009.8,1007.1,2,2,25.4,21.5,No,0
Row166,Sydney,13.5,21.8,0,6.6,7.1,NA,,SW,SE,19,24,42,63,1013.8,1015.6,1,7,19.4,16.1,No,0
Row167,Sydney,12.6,24.7,0,5.2,10.6,NA,,WNW,NE,9,22,70,69,1020.9,1015.7,6,1,19,20.5,No,0
Row168,Sydney,18.9,31.1,0,6.6,10,NA,,NE,NE,4,19,44,39,1016.9,1013.5,3,1,24.7,29.7,No,0
Row169,Sydney,22.5,34.8,0,8.6,9.8,NA,,WNW,W,15,11,41,20,1014.8,1010.3,1,7,29.6,33.9,No,1
Row170,Sydney,14.9,22.8,1.8,2,3.3,NA,,SSW,ENE,15,22,85,71,1009.2,1003.9,8,7,18.5,20.2,Yes,0
Row171,Sydney,9.7,20.6,0.4,3.4,11.7,NA,,W,E,22,24,51,42,1017.7,1014.4,1,1,12.8,17.2,No,0
Row172,Sydney,10.9,19.7,0,,10,NA,,W,E,19,15,53,47,1018.8,1018.6,4,1,14,18.4,No,0
Row173,Sydney,10.5,19.9,0,5.4,11.7,NA,,W,ESE,17,22,56,58,1026.2,1025.7,1,1,15.8,19.2,No,0
Row174,Sydney,14.6,22.3,0,6.6,7.2,NA,,W,E,6,22,82,65,1027.4,1024.3,5,3,16,20,No,0
Row175,Sydney,16.1,29.2,0,7,9.2,NA,,W,NE,6,24,72,43,1021.4,1016.6,2,2,20.2,27.7,No,0
Row176,Sydney,16.6,21,0.6,9.2,2.3,NA,,SSW,E,20,20,89,84,1021.7,1016,8,7,16.8,17.6,No,1
Row177,Sydney,15.1,18.9,9,3.2,5,NA,,SSE,SE,20,17,63,55,1022.4,1021.2,7,8,15.9,18.1,Yes,0
Row178,Sydney,11.8,22.1,0,4.2,11.4,NA,,W,E,7,19,64,42,1025.5,1023.4,1,1,16.6,20.3,No,0
Row179,Sydney,16.7,23.2,0,7.4,10.3,NA,,S,E,4,24,77,82,1025.4,1022,5,2,18.6,19.7,No,0
Row180,Sydney,16.5,26.8,0,7.8,10.8,NA,,W,NE,6,9,64,48,1022.3,1018.5,1,2,21.3,26.6,No,0
Row181,Sydney,17.1,22.2,0,8,5.7,NA,,SSW,SE,20,20,76,55,1022.3,1019.3,7,1,18.1,21.8,No,1
Row182,Sydney,14.5,19.2,1.8,5.2,8.4,NA,,SSW,SSE,26,35,68,59,1020.9,1019.6,6,7,16.8,18.8,Yes,1
Row183,Sydney,9,20.2,2,2.4,10.2,NA,,WNW,E,15,17,66,51,1023.2,1019,6,6,14.4,18.2,Yes,0
Row184,Sydney,12.3,24,0,4.8,11.5,NA,,W,E,17,19,66,47,1018.3,1015.1,1,1,17.3,22.2,No,0
Row185,Sydney,14.4,24.4,0,8,8.7,NA,,ESE,NNE,6,19,58,57,1016.8,1013.4,6,7,20.2,23.6,No,0
Row186,Sydney,19.8,33.6,0,7.6,11.8,NA,,E,NE,6,20,55,38,1015.2,1010.8,2,1,23.7,29.8,No,0
Row187,Sydney,17.6,21.9,0,11.4,5.7,NA,,S,SSE,11,22,67,70,1020.8,1019.9,5,8,20.8,20.5,No,1
Row188,Sydney,16.9,35,0.2,3.2,5,NA,,N,WNW,17,26,53,24,1010,1005.3,6,7,25.6,34.6,No,0
Row189,Sydney,18,21.2,0.4,10.2,2.4,NA,,S,SSE,19,24,73,64,1021.9,1022.9,7,7,18.9,20.4,No,0
Row190,Sydney,17.5,23.1,0.8,4.6,0.2,NA,,W,NE,11,17,72,60,1024.9,1021,7,7,18.3,20,No,1
Row191,Sydney,15.5,19,0.2,7.8,6.2,NA,,S,SSE,22,31,59,62,1015,1015.9,7,6,17.5,17.8,No,0
Row192,Sydney,14.5,21,0,7.8,5,NA,,W,NE,4,20,59,60,1015.5,1010.6,6,8,18.2,20.1,No,0
Row193,Sydney,15.2,30.3,0,6,10.3,NA,,W,ENE,9,17,58,45,1009.6,1006.7,5,7,21,25,No,0
Row194,Sydney,18.4,25.2,0.2,5.2,0.2,NA,,NNW,WSW,24,17,62,47,1001.8,1003.8,7,8,22.1,22.8,No,0
Row195,Sydney,16.6,23,0.4,4.4,11,NA,,W,E,13,20,46,60,1017.2,1017.9,1,2,20.7,21.5,No,0
