row ID,Location,MinTemp,MaxTemp,MeanTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,AvgWindSpeed,Humidity9am,Humidity3pm,AvgHumidity,Pressure9am,Pressure3pm,AvgPressure,Cloud9am,Cloud3pm,AvgCloud,Temp9am,Temp3pm,RainToday
19,Sydney,17,27.2,22.1,19,2.4,10.5,NA,,NA,NW,0,6,3,76,38,57,1008.9,1007.9,1008.4,1,5,3,20.5,27.1,Yes
20,Sydney,14.4,22.9,18.7,0.2,4.8,9.3,NA,,W,E,15,15,15,85,65,75,1015.4,1011.2,1013.3,3,2,2.5,16.7,21.7,No
21,Sydney,13.7,23.9,18.8,0,6.6,11,NA,,W,ESE,20,15,17.5,55,54,54.5,1023,1021.5,1022.25,1,1,1,16.7,23.3,No
22,Sydney,15.3,22,18.65,12,3.2,4.7,NA,,SSW,SSE,11,15,13,83,70,76.5,1026.3,1024.2,1025.3,5,6,5.5,18.2,19.8,Yes
23,Sydney,14.6,22.1,18.4,9.6,5.4,5.1,NA,,SE,SE,20,17,18.5,86,75,80.5,1026.5,1024.1,1025.3,6,6,6,17,18.9,Yes
24,Sydney,13.8,22.7,18.3,2.2,3.6,10.6,NA,,W,E,15,15,15,77,60,68.5,1022.1,1019.7,1020.9,5,1,3,18.7,21.9,Yes
25,Sydney,14.9,19.7,17.3,4.6,1.4,0.8,NA,,SSW,S,17,13,15,91,72,81.5,1025.1,1023.4,1024.3,7,7,7,16.4,19.4,Yes
26,Sydney,15.3,20,17.65,6.4,3.2,0.3,NA,,W,SSE,4,15,9.5,94,75,84.5,1025.4,1023.7,1024.6,8,7,7.5,16.4,19.6,Yes
27,Sydney,15.2,19.1,17.2,2.8,4,1.3,NA,,ESE,S,15,6,10.5,79,75,77,1026.6,1023.7,1025.2,7,6,6.5,17.3,18.4,Yes
28,Sydney,14.7,17.9,16.3,12.6,4,0.7,NA,,SW,SSE,6,22,14,90,89,89.5,1024,1022.1,1023.05,7,7,7,16.2,17.2,Yes
29,Sydney,16.8,21.2,19.0,5.4,2.6,2.6,NA,,SSE,S,17,15,16,55,69,62,,1013.9,507.0,7,7,7,19.7,20.3,Yes
30,Sydney,10.9,19.6,15.3,0,3.4,10.5,NA,,W,SSE,19,11,15,62,52,57,1019.3,1016.9,1018.1,1,1,1,14.1,18.6,No
31,Sydney,9.4,22.3,15.9,0,2,10,NA,,W,NW,15,7,11,71,34,52.5,1018.7,1015.2,1017.0,1,2,1.5,12.4,22.2,No
32,Sydney,12.6,21.3,17.0,0,3,9.6,NA,,WNW,E,11,11,11,86,67,76.5,1022.2,1019.6,1020.9,1,1,1,15.2,19.3,No
33,Sydney,10.3,21.7,16.0,0,3,10,NA,,W,W,24,7,15.5,64,38,51,1020.1,1017.5,1018.8,1,1,1,13,21.3,No
34,Sydney,11,18.4,14.7,0,3.4,5.4,NA,,WNW,SSE,17,13,15,76,53,64.5,1026.9,1024.6,1025.8,1,5,3,12.7,17.1,No
35,Sydney,11.5,22.4,17.0,0,3.2,8.7,NA,,W,E,15,13,14,82,71,76.5,1024.6,1021.8,1023.2,3,1,2,13.6,19.1,No
36,Sydney,11.6,20.5,16.1,0.2,2.2,0.3,NA,,W,SE,19,17,18,91,74,82.5,1029.3,1027,1028.15,7,7,7,14.3,18.7,No
37,Sydney,15.2,16.9,16.1,46.4,2.4,0,NA,,SSW,S,24,24,24,82,84,83,1020.1,1018.6,1019.4,7,8,7.5,16,16.6,Yes
38,Sydney,13,16.9,14.95,3.6,1.2,1.2,NA,,W,ESE,13,2,7.5,96,89,92.5,1030.9,1028,1029.45,7,8,7.5,13.9,16.2,Yes
39,Sydney,13.7,22.1,17.9,5.4,1.8,6.9,NA,,W,ENE,11,7,9,97,64,80.5,1022.4,1018.1,1020.3,8,1,4.5,14.1,20.1,Yes
40,Sydney,14,18.8,16.4,0,3.4,8.6,NA,,NW,WSW,20,26,23,67,42,54.5,1012.2,1011.5,1011.9,1,2,1.5,16.6,16.7,No
41,Sydney,13.3,16.8,15.1,7.2,5,2.4,NA,,SSW,SSW,19,20,19.5,86,83,84.5,1024.2,1023,1023.6,6,7,6.5,15,15.8,Yes
42,Sydney,13.6,19.4,16.5,0,1.6,4.1,NA,,W,NE,13,2,7.5,90,69,79.5,1025.5,1022.1,1023.8,7,8,7.5,14.8,19.2,No
43,Sydney,13.8,17.9,15.9,3.6,0.6,0.6,NA,,W,W,19,19,19,81,60,70.5,1018.3,1016.2,1017.3,7,7,7,14.3,17.2,Yes
44,Sydney,9.5,19.4,14.5,0,4.4,9.3,NA,,W,WSW,24,15,19.5,57,32,44.5,1025.9,1023.6,1024.8,0,0,0,10.8,18.9,No
45,Sydney,7.9,21,14.45,0,0.8,9.8,NA,,WNW,NNW,13,6,9.5,84,42,63,1024.1,1018.8,1021.5,2,1,1.5,9.2,20.8,No
46,Sydney,9.2,22.1,15.7,0,3.2,9.8,NA,,NNW,NW,19,28,23.5,47,35,41,1017.1,1010.3,1013.7,1,1,1,13.8,21.6,No
47,Sydney,9.2,17.9,13.6,0,3.2,9.6,NA,,W,WNW,17,7,12,63,42,52.5,1022.7,1020.8,1021.8,1,1,1,10.7,17.4,No
48,Sydney,7.2,15.8,11.5,1.8,2.4,4.9,NA,,WNW,NW,11,26,18.5,58,38,48,1014.6,1010,1012.3,7,3,5,10.2,15.8,Yes
49,Sydney,10,16.5,13.25,0,4.8,9.8,NA,,W,WSW,24,20,22,46,27,36.5,1016.5,1017,1016.75,1,1,1,11.3,16.1,No
50,Sydney,5.7,15.9,10.8,0,3.4,8.3,NA,,W,NE,17,13,15,67,45,56,1027.5,1023.5,1025.5,4,7,5.5,7.8,15,No
51,Sydney,10.1,23.1,16.6,0,1.8,6.1,NA,,NA,E,0,7,3.5,80,54,67,1021.5,1017.3,1019.4,7,1,4,12,22.9,No
52,Sydney,9.7,19.8,14.8,0,1.8,9.7,NA,,W,ESE,20,11,15.5,81,70,75.5,1020.8,1018.4,1019.6,1,1,1,11.1,17.4,No
53,Sydney,8.2,18.7,13.5,0,4,8.7,NA,,W,W,13,39,26,73,21,47,1010.1,1007.3,1008.7,1,1,1,10.1,17.9,No
54,Sydney,7.2,15.1,11.2,0,3.8,10,NA,,W,SSW,19,22,20.5,52,31,41.5,1024.8,1025.2,1025.0,0,1,0.5,8.8,13.9,No
55,Sydney,6.9,15.9,11.4,7,0.2,1.7,NA,,W,ESE,19,22,20.5,95,70,82.5,1029.3,1025.4,1027.4,8,7,7.5,10.9,14.7,Yes
56,Sydney,7,13.6,10.3,3.8,3,3.6,NA,,W,SW,20,31,25.5,79,79,79,1011.3,1011.3,1011.3,6,8,7,8.4,10.2,Yes
57,Sydney,6,17,11.5,0.2,2.6,9.7,NA,,W,ESE,19,11,15,65,43,54,1016.7,1013.7,1015.2,2,1,1.5,9.4,16.2,No
58,Sydney,8.8,15.5,12.2,0,3.4,3.4,NA,,W,SSW,15,13,14,89,70,79.5,1014.9,1015.6,1015.3,7,7,7,9.5,14.3,No
59,Sydney,8.2,18.6,13.4,4.6,1.4,5.7,NA,,W,SW,17,19,18,58,38,48,1016.4,1016.9,1016.7,7,5,6,11.7,18.4,Yes
60,Sydney,6.7,15.6,11.2,0,3,5.9,NA,,NW,WNW,19,24,21.5,62,38,50,1016.2,1011.8,1014.0,2,2,2,10.5,13.5,No
61,Sydney,7,15.9,11.45,0.4,3.6,10.7,NA,,W,W,33,20,26.5,46,35,40.5,1016,1015.4,1015.7,1,4,2.5,9.4,15.4,No
62,Sydney,9.4,18.8,14.1,0,4.6,10.7,NA,,W,W,22,31,26.5,49,33,41,1013.4,1010.2,1011.8,1,1,1,12.4,18.1,No
63,Sydney,10.2,11.9,11.1,2.6,3.4,0,NA,,W,SSW,15,17,16,90,87,88.5,1016.1,1015.5,1015.8,8,8,8,10.5,10.5,Yes
64,Sydney,7.3,14.8,11.1,20.8,1.6,5.9,NA,,SSW,S,24,28,26,65,53,59,1022.8,1024.1,1023.5,7,7,7,11.2,13.4,Yes
65,Sydney,5.5,17.3,11.4,0,3,10.4,NA,,W,SSE,24,22,23,63,47,55,1029.6,1027.9,1028.8,1,2,1.5,9.8,16.6,No
66,Sydney,9.2,17.6,13.4,0,4,8.4,NA,,W,SSE,19,26,22.5,59,,29.5,1025.1,1025.3,1025.2,3,4,3.5,13.1,15.3,No
67,Sydney,8.8,16.9,12.9,2.4,3.2,8.5,NA,,W,S,13,20,16.5,85,59,72,1028,1025.3,1026.65,3,5,4,12,15.8,Yes
68,Sydney,9.7,17.9,13.8,0,3.4,6.2,NA,,SSE,SSE,22,30,26,67,64,65.5,1032.6,1032.4,1032.5,7,7,7,15.8,16,No
69,Sydney,7,16.8,11.9,0,4,10.7,NA,,W,ESE,17,19,18,66,44,55,1022.7,1019.1,1020.9,1,1,1,12.4,16.6,No
70,Sydney,8.7,24.3,16.5,0,3.6,10.8,NA,,W,NE,11,20,15.5,53,35,44,1014.9,1010.8,1012.9,1,1,1,14.8,21.9,No
71,Sydney,17.2,23.5,20.4,3.6,9.6,2.8,NA,,N,NW,15,7,11,82,79,80.5,1011.8,1007.4,1009.6,8,6,7,18,19.3,Yes
72,Sydney,16.9,27.9,22.4,4,3,11,NA,,N,NW,28,39,33.5,58,23,40.5,1009.7,1003.4,1006.6,1,1,1,22.5,27.8,Yes
73,Sydney,18.8,32.8,25.8,0,7.6,10.9,NA,,N,W,6,26,16,46,17,31.5,1010.1,1005.9,1008.0,0,6,3,25.8,31.6,No
74,Sydney,10.3,18.6,14.5,0,4,10.9,NA,,W,E,6,19,12.5,67,54,60.5,1031.6,1027.8,1029.7,1,1,1,16,18.2,No
75,Sydney,11.3,22.2,16.8,0,6.2,11.4,NA,,ESE,NE,4,11,7.5,56,53,54.5,1024.3,1018.4,1021.4,1,5,3,17.9,21.6,No
76,Sydney,14,25.4,19.7,0,5.6,11.4,NA,,S,E,7,9,8,67,62,64.5,1021.6,1015.7,1018.7,4,1,2.5,20.4,21.4,No
77,Sydney,11.9,19.2,15.6,0.8,6.4,11.1,NA,,W,NE,6,15,10.5,61,48,54.5,1020.3,1016.777,1018.5385,2,1,1.5,16.5,19,No
78,Sydney,17.5,19.4,18.5,9.6,10.4,0,NA,,ESE,NE,13,9,11,89,88,88.5,1015.2,1012.9,1014.1,7,8,7.5,18.9,19,Yes
79,Sydney,14.6,19.1,16.9,3.4,1,0,NA,,SSW,S,11,11,11,93,86,89.5,1018.4,1015.3,1016.9,8,8,8,14.9,16,Yes
80,Sydney,12.6,21.5,17.1,0,6,10.7,NA,,WNW,E,11,20,15.5,76,57,66.5,1029,1025.4,1027.2,3,3,3,16.9,20.5,No
81,Sydney,14.2,22.5,18.4,0,3.6,10.6,NA,,W,E,11,28,19.5,76,69,72.5,1025,1021.8,1023.4,1,1,1,18.6,20.8,No
82,Sydney,12.9,24.9,18.9,0,5.8,11.7,NA,,W,ENE,7,20,13.5,71,49,60,1024.2,1021,1022.6,1,2,1.5,17.6,22.4,No
83,Sydney,9.9,14.3,12.1,12.6,6,2.3,NA,,WSW,S,19,24,21.5,87,74,80.5,1022.1,1021.9,1022.0,7,7,7,10.3,12.4,Yes
84,Sydney,7.9,15.7,11.8,11.4,4.2,5,NA,,SW,S,24,26,25,71,75,73,1023.2,1022.5,1022.9,6,7,6.5,11.9,14.1,Yes
85,Sydney,16.8,17.3,17.1,6.2,4.6,0,NA,,ESE,SE,11,13,12,93,91,92,1024.3,1023.8,1024.1,8,8,8,17.2,16.7,Yes
86,Sydney,15.1,25.8,20.5,7.6,1.2,3.7,NA,,W,NE,9,20,14.5,92,70,81,1022.6,1016.7,1019.7,8,6,7,17,23.5,Yes
87,Sydney,17.2,30.3,23.8,2.8,3.4,10.3,NA,,WNW,W,22,24,23,62,35,48.5,1009.7,1006,1007.85,2,4,3,23.1,28.6,Yes
88,Sydney,16,24.1,20.05,0,8.4,4.1,NA,,WNW,E,15,13,14,61,60,60.5,1014.5,1011.1,1012.8,6,8,7,18.7,21.3,No
89,Sydney,15.9,23.1,19.5,0,5.2,9.9,NA,,NA,E,0,19,9.5,66,49,57.5,1023.9,1020.9,1022.4,3,2,2.5,20.5,22.3,No
90,Sydney,16.4,24.6,20.5,0,6.6,10.7,NA,,NNW,ENE,6,22,14,69,54,61.5,1020.1,1017.1,1018.6,7,1,4,20.5,24,No
91,Sydney,17,22.1,19.55,6.2,7.8,1,NA,,NNE,E,9,20,14.5,91,78,84.5,1011.4,1008.2,1009.8,8,8,8,18.4,20.9,Yes
92,Sydney,17.3,27.6,22.5,29.4,4.6,7.5,NA,,WNW,N,15,13,14,70,59,64.5,1001.1,997.5,999.3,3,5,4,22,26.7,Yes
93,Sydney,16.7,27.7,22.2,0.2,7,11.8,NA,,WSW,E,19,31,25,34,46,40,1001.2,996.4,998.8,1,3,2,22.1,23.7,No
94,Sydney,17.9,20.6,19.3,0,10,9.8,NA,,WNW,NA,31,,15.5,49,30,39.5,990.2,991.4,990.8,3,6,4.5,20.3,17.2,No
95,Sydney,12.2,19.7,16.0,0.2,9.8,2.1,NA,,WNW,SSW,19,26,22.5,50,55,52.5,986.7,991,988.85,7,5,6,13.8,18.4,No
96,Sydney,15.5,21.8,18.7,0,5.6,9.4,NA,,SSW,SSE,15,24,19.5,62,63,62.5,1015.6,1015.3,1015.5,5,3,4,18.5,19.3,No
97,Sydney,18.4,21.8,20.1,0,10,2.2,NA,,ESE,E,20,22,21,59,57,58,1020.2,1018.5,1019.4,8,6,7,19.6,21.5,No
98,Sydney,17.4,24.5,21.0,3.6,4,0,NA,,ENE,ENE,13,30,21.5,85,92,88.5,1015.8,1009.9,1012.9,8,8,8,17.6,18.4,Yes
99,Sydney,15,24.1,19.55,0,6.8,13,NA,,NNW,NE,13,20,16.5,58,48,53,1013.1,1010.1,1011.6,1,1,1,21,23.4,No
100,Sydney,15.9,24.1,20.0,0,7.2,12.1,NA,,NNE,NE,22,26,24,56,57,56.5,1018.8,1014.8,1016.8,1,1,1,22.1,22.9,No
101,Sydney,18.7,20.7,19.7,0.4,4.8,0,NA,,S,SSE,17,6,11.5,77,78,77.5,1013.3,1012.6,1013.0,8,8,8,19.6,19.7,No
102,Sydney,20.7,24.9,22.8,0,8,7.2,NA,,SSE,SE,28,15,21.5,72,68,70,1004.8,1003.7,1004.3,2,6,4,22.6,22.4,No
103,Sydney,18.8,22.7,20.8,0,11,5.9,NA,,E,ESE,11,33,22,62,57,59.5,1012.8,1013.8,1013.3,6,7,6.5,20.1,20.8,No
104,Sydney,19.5,27.9,23.7,0,10,12.2,NA,,ESE,ENE,6,13,9.5,66,60,63,1013.2,1008.9,1011.1,4,4,4,23.4,26.2,No
105,Sydney,20.2,28.3,24.3,0,10,11.8,NA,,SSW,E,11,20,15.5,77,64,70.5,1011.6,1008,1009.8,0,0,0,23.1,25.8,No
106,Sydney,20.7,33.1,26.9,0,9,9.3,NA,,SSW,E,6,15,10.5,72,67,69.5,1009.9,1005.1,1007.5,1,7,4,23.7,26.1,No
107,Sydney,20.4,22.4,21.4,0,9.8,0,NA,,SSE,SSE,24,31,27.5,78,72,75,1012.4,1013.4,1012.9,8,8,8,21.2,20.1,No
108,Sydney,17.2,22.6,19.9,0.4,7.6,5.9,NA,,SSE,ESE,22,19,20.5,54,47,50.5,1020.2,1018.8,1019.5,7,6,6.5,19.2,21.2,No
109,Sydney,18.8,25,21.9,1.8,10.2,10.1,NA,,S,E,4,24,14,69,61,65,1012.7,1008.8,1010.8,2,0,1,21.4,24,Yes
110,Sydney,20.1,28.7,24.4,0,9,12.4,NA,,E,NE,9,22,15.5,61,54,57.5,1013.7,1010.6,1012.2,0,1,0.5,24.7,27,No
111,Sydney,21.3,31.1,26.2,1.6,12.8,7.4,NA,,W,ENE,11,22,16.5,66,55,60.5,1011.9,1008.1,1010.0,3,5,4,25.7,29.2,Yes
112,Sydney,20.5,25.9,23.2,0,13.6,6.8,NA,,SE,ESE,15,17,16,57,51,54,1019.5,1018.3,1018.9,7,5,6,21.9,24.7,No
113,Sydney,20.8,26.8,23.8,0,6.8,1.2,NA,,S,S,9,15,12,80,72,76,1019.3,1019.1,1019.2,8,7,7.5,21.9,25.3,No
114,Sydney,20.2,23.9,22.1,14.2,1.8,1.7,NA,,S,SSE,9,7,8,95,93,94,1021.1,1019.9,1020.5,8,8,8,20.8,22.4,Yes
115,Sydney,21.6,27.3,24.5,0.4,7,7.1,NA,,S,E,6,17,11.5,84,71,77.5,1011.6,1009.4,1010.5,7,5,6,23.2,26.2,No
116,Sydney,20.9,22.5,21.7,0,9,0,NA,,S,S,20,17,18.5,84,81,82.5,1011.9,1011.7,1011.8,8,8,8,21.2,20.6,No
117,Sydney,20.3,24.9,22.6,2.2,2.4,6.3,NA,,SSE,E,13,13,13,70,59,64.5,1018.5,1017.6,1018.1,7,4,5.5,21.7,24.4,Yes
118,Sydney,21.1,26.4,23.8,0,7,7,NA,,S,ESE,4,20,12,83,63,73,1016.7,1014.6,1015.7,7,5,6,22,26.1,No
119,Sydney,16.8,24.6,20.7,0,5,11,NA,,W,SE,30,20,25,39,37,38,1009.5,1008.6,1009.1,1,1,1,19.3,24.2,No
120,Sydney,19.6,25.5,22.6,0,6.4,2.2,NA,,W,NW,7,2,4.5,85,76,80.5,1018.6,1016.2,1017.4,7,7,7,21.1,23.9,No
121,Sydney,19.2,27.4,23.3,17,8.4,6.6,NA,,WNW,E,6,15,10.5,81,61,71,1010.7,1007.8,1009.3,2,3,2.5,21.7,25,Yes
122,Sydney,17.1,24.5,20.8,0,5.4,10.1,NA,,WNW,ENE,11,17,14,72,52,62,1019,1016.1,1017.55,1,1,1,20.1,24.3,No
123,Sydney,17.6,26.7,22.2,0,5.6,8.4,NA,,W,NE,11,19,15,82,58,70,1017.9,1015.1,1016.5,1,5,3,20.4,25,No
124,Sydney,16.4,23.5,20.0,0,4.4,10.8,NA,,WNW,E,9,17,13,85,49,67,1025.4,1023.2,1024.3,3,1,2,17.9,23,No
125,Sydney,16.1,24.4,20.3,0,6.6,9.4,NA,,WNW,E,9,19,14,77,66,71.5,1023.6,1021.7,1022.7,5,5,5,18.9,23,No
126,Sydney,18.6,26.2,22.4,0,4,6.7,NA,,ESE,SE,7,22,14.5,66,65,65.5,1024.1,1022.3,1023.2,2,6,4,22.9,24.7,No
127,Sydney,19.8,22.5,21.2,2.6,6,0,NA,,SE,E,20,26,23,86,89,87.5,1021.8,1020.4,1021.1,8,8,8,21.1,19.9,Yes
128,Sydney,18.4,24.7,21.6,46,5,2.3,NA,,ESE,ESE,28,30,29,93,73,83,1021.1,1021,1021.05,8,7,7.5,20.5,23.9,Yes
129,Sydney,12.8,22.4,17.6,0,5.6,9.3,NA,,W,SE,11,22,16.5,66,59,62.5,1026.9,1024.9,1025.9,2,4,3,18.7,21.3,No
130,Sydney,17.4,23.8,20.6,0,3.2,0.8,NA,,NA,ENE,0,9,4.5,80,69,74.5,1025.4,1023,1024.2,7,7,7,19.8,23,No
131,Sydney,17.6,26.9,22.3,48,,7.8,NA,,W,E,19,20,19.5,89,70,79.5,1015.1,1011.2,1013.2,6,5,5.5,19.2,23.1,Yes
132,Sydney,13.5,24.1,18.8,0,4.8,10.3,NA,,WNW,S,13,19,16,56,51,53.5,1016.3,1015.9,1016.1,0,1,0.5,18.4,22.5,No
133,Sydney,13.1,24.7,18.9,0,2,9,NA,,NNW,E,9,11,10,75,63,69,1012.7,1006.6,1009.7,6,7,6.5,17.4,22.6,No
134,Sydney,16.3,23.9,20.1,0.4,5.4,10.3,NA,,NW,W,11,22,16.5,52,40,46,1004.4,1002.4,1003.4,1,3,2,19.3,22.2,No
135,Sydney,16.7,20.2,18.5,0,6.8,9.2,NA,,WNW,WNW,20,28,24,47,29,38,1003.1,1003.1,1003.1,2,2,2,17.7,19.5,No
136,Sydney,10.2,22.5,16.4,5.6,3,10.3,NA,,W,E,17,11,14,76,53,64.5,1024.6,1020.9,1022.8,3,5,4,13,20.7,Yes
137,Sydney,10.9,22,16.45,0,2.2,9.4,NA,,W,S,22,22,22,61,56,58.5,1025.1,1022.7,1023.9,1,2,1.5,14,20.8,No
138,Sydney,12.1,23.3,17.7,0,3.2,10,NA,,W,E,19,15,17,84,53,68.5,1028.5,1025.5,1027.0,1,1,1,14.5,21.6,No
139,Sydney,11.1,22.8,17.0,0,4.4,9.8,NA,,W,E,19,9,14,74,46,60,1024.2,1020.4,1022.3,1,1,1,13.4,21,No
140,Sydney,12.4,21.7,17.1,0,6.2,8.7,NA,,W,W,15,30,22.5,58,34,46,1012.8,1009.7,1011.3,1,2,1.5,14.2,21.4,No
141,Sydney,13,21.4,17.2,2.6,2.4,4.4,NA,,W,E,15,20,17.5,91,53,72,1024.5,1021.4,1023.0,6,6,6,14.5,20,Yes
142,Sydney,17.4,21.3,19.4,1.6,4.4,7.4,NA,,NA,NA,,,0,52,48,50,1026.8,1025.4,1026.1,5,5,5,19.7,20.7,Yes
143,Sydney,12.8,23.4,18.1,0,0.6,8.4,NA,,NA,E,,11,5.5,89,57,73,1022.3,1018.9,1020.6,1,1,1,13.9,21.6,No
144,Sydney,11.4,17.5,14.5,0,2.4,6.1,NA,,W,S,20,26,23,65,65,65,1023.3,1022.3,1022.8,3,7,5,12.4,16.6,No
145,Sydney,9.9,16.5,13.2,15,4.6,4,NA,,W,SSW,19,13,16,82,78,80,1028.2,1027.1,1027.7,8,6,7,11.7,15.9,Yes
146,Sydney,13.1,18.5,15.8,0.6,1,3.5,NA,,W,W,17,15,16,93,55,74,1014.7,1012.4,1013.6,4,6,5,14.5,18.4,No
147,Sydney,6.1,15.8,11.0,0,4,9.8,NA,,W,W,26,22,24,48,28,38,1020.9,1018.2,1019.6,1,1,1,7.9,15.4,No
148,Sydney,8.2,19.8,14.0,1.2,0.8,8.6,NA,,W,SSW,15,7,11,79,40,59.5,1013.1,1010.6,1011.9,1,3,2,10.2,18.4,Yes
149,Sydney,11.7,19.1,15.4,31.8,0.6,1.9,NA,,W,NE,4,11,7.5,93,82,87.5,1023.9,1020.7,1022.3,7,7,7,14.1,17.8,Yes
150,Sydney,9.4,15.8,12.6,0,2.2,0.2,NA,,WNW,N,7,9,8,84,79,81.5,1008.1,1005.4,1006.8,7,7,7,10.4,15.1,No
151,Sydney,10.4,18.7,14.6,0,2.2,5.3,NA,,W,WNW,11,7,9,86,54,70,1006.3,1004.5,1005.4,4,6,5,12.4,17.5,No
152,Sydney,15.7,21.2,18.5,0,4,8.6,NA,,W,W,7,28,17.5,61,27,44,1005.8,1004.1,1005.0,1,1,1,16.5,20.5,No
153,Sydney,10.1,18.1,14.1,0,3,9.8,NA,,W,S,20,11,15.5,54,32,43,1016.4,1016.4,1016.4,2,1,1.5,11.8,17.2,No
154,Sydney,6.2,15.7,11.0,0,3,6.5,NA,,W,WSW,19,7,13,74,48,61,1020.8,1017.8,1019.3,6,6,6,7.5,14.8,No
155,Sydney,7.5,15.1,11.3,0.6,2.6,3.9,NA,,W,SSW,19,19,19,81,60,70.5,1025,1024.1,1024.55,6,7,6.5,9,14.7,No
156,Sydney,8.6,16.8,12.7,13.8,2.6,3.2,NA,,WNW,ESE,15,4,9.5,96,61,78.5,1029.6,1028.2,1028.9,7,6,6.5,10.5,15.4,Yes
157,Sydney,10.3,16.8,13.6,0,1.4,2.3,NA,,W,N,9,26,17.5,80,56,68,1014.6,1009.4,1012.0,7,6,6.5,11.8,16.7,No
158,Sydney,9.2,15.8,12.5,7,3.2,4.5,NA,,W,SSW,20,22,21,80,59,69.5,1019.2,1019.2,1019.2,3,6,4.5,10.7,15.1,Yes
159,Sydney,8,19.9,13.95,0,2.2,9.4,NA,,W,WNW,9,11,10,66,37,51.5,1021.1,1019.2,1020.2,2,1,1.5,10.2,19.5,No
160,Sydney,8.1,18.7,13.4,0,3.6,10,NA,,W,WSW,11,20,15.5,63,38,50.5,1022.5,1020.2,1021.4,1,1,1,11.2,17.9,No
161,Sydney,9.5,19.5,14.5,0,2.2,9.1,NA,,WNW,WSW,17,9,13,61,41,51,1024.3,1022.3,1023.3,1,5,3,11.3,18.7,No
162,Sydney,7.9,19.2,13.6,0,4,10.1,NA,,W,E,20,13,16.5,63,46,54.5,1027.7,1022.7,1025.2,1,1,1,10.2,17.3,No
